balanced 0 test_flag 0
[Run 238] Ep10000: 3548 steps (0.0010 hrs) 14 sec, Max 270718 steps
[Run 239] Ep10000: 1939 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 240] Ep10000: 1932 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 241] Ep10000: 2105 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 242] Ep10000: 1622 steps (0.0005 hrs) 10 sec, Max 270718 steps
[Run 243] Ep10000: 6814 steps (0.0019 hrs) 20 sec, Max 270718 steps
[Run 244] Ep10000: 2438 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 245] Ep10000: 2236 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 246] Ep10000: 1990 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 247] Ep10000: 1670 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 248] Ep10000: 8830 steps (0.0025 hrs) 47 sec, Max 270718 steps
[Run 249] Ep10000: 3193 steps (0.0009 hrs) 24 sec, Max 270718 steps
[Run 250] Ep10000: 2728 steps (0.0008 hrs) 25 sec, Max 270718 steps
[Run 251] Ep10000: 2741 steps (0.0008 hrs) 24 sec, Max 270718 steps
[Run 252] Ep10000: 1922 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 253] Ep10000: 1825 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 254] Ep10000: 2235 steps (0.0006 hrs) 22 sec, Max 270718 steps
[Run 255] Ep10000: 2183 steps (0.0006 hrs) 21 sec, Max 270718 steps
[Run 256] Ep10000: 2469 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 257] Ep10000: 1814 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 258] Ep10000: 2153 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 259] Ep10000: 2614 steps (0.0007 hrs) 19 sec, Max 270718 steps
[Run 260] Ep10000: 1861 steps (0.0005 hrs) 10 sec, Max 270718 steps
[Run 261] Ep10000: 2433 steps (0.0007 hrs) 13 sec, Max 270718 steps
[Run 262] Ep10000: 2224 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 263] Ep10000: 1970 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 264] Ep10000: 4975 steps (0.0014 hrs) 20 sec, Max 270718 steps
[Run 265] Ep10000: 1927 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 266] Ep10000: 1663 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 267] Ep10000: 2144 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 268] Ep10000: 2170 steps (0.0006 hrs) 16 sec, Max 270718 steps
[Run 269] Ep10000: 2133 steps (0.0006 hrs) 25 sec, Max 270718 steps
[Run 270] Ep10000: 2165 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 271] Ep10000: 1564 steps (0.0004 hrs) 14 sec, Max 270718 steps
[Run 272] Ep10000: 2278 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 273] Ep10000: 2367 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 274] Ep10000: 1873 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 275] Ep10000: 2217 steps (0.0006 hrs) 23 sec, Max 270718 steps
[Run 276] Ep10000: 1918 steps (0.0005 hrs) 24 sec, Max 270718 steps
[Run 277] Ep10000: 3093 steps (0.0009 hrs) 25 sec, Max 270718 steps
[Run 278] Ep10000: 1684 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 279] Ep10000: 2198 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 280] Ep10000: 2567 steps (0.0007 hrs) 19 sec, Max 270718 steps
[Run 281] Ep10000: 1843 steps (0.0005 hrs) 24 sec, Max 270718 steps
[Run 282] Ep10000: 12556 steps (0.0035 hrs) 66 sec, Max 270718 steps
[Run 283] Ep10000: 1648 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 284] Ep10000: 1537 steps (0.0004 hrs) 12 sec, Max 270718 steps
[Run 285] Ep10000: 1776 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 286] Ep10000: 3256 steps (0.0009 hrs) 25 sec, Max 270718 steps
[Run 287] Ep10000: 2063 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 288] Ep10000: 2400 steps (0.0007 hrs) 16 sec, Max 270718 steps
[Run 289] Ep10000: 2652 steps (0.0007 hrs) 19 sec, Max 270718 steps
[Run 290] Ep10000: 2134 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 291] Ep10000: 1970 steps (0.0005 hrs) 23 sec, Max 270718 steps
[Run 292] Ep10000: 1968 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 293] Ep10000: 2135 steps (0.0006 hrs) 23 sec, Max 270718 steps
[Run 294] Ep10000: 3965 steps (0.0011 hrs) 25 sec, Max 270718 steps
[Run 295] Ep10000: 2228 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 296] Ep10000: 1661 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 297] Ep10000: 1936 steps (0.0005 hrs) 16 sec, Max 270718 steps
[Run 298] Ep10000: 2167 steps (0.0006 hrs) 26 sec, Max 270718 steps
[Run 299] Ep10000: 1891 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 300] Ep10000: 2415 steps (0.0007 hrs) 20 sec, Max 270718 steps
[Run 301] Ep10000: 2424 steps (0.0007 hrs) 17 sec, Max 270718 steps
[Run 302] Ep10000: 1892 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 303] Ep10000: 1901 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 304] Ep10000: 2542 steps (0.0007 hrs) 25 sec, Max 270718 steps
[Run 305] Ep10000: 8828 steps (0.0025 hrs) 56 sec, Max 270718 steps
[Run 306] Ep10000: 2157 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 307] Ep10000: 1812 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 308] Ep10000: 1359 steps (0.0004 hrs) 10 sec, Max 270718 steps
[Run 309] Ep10000: 2064 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 310] Ep10000: 3404 steps (0.0009 hrs) 20 sec, Max 270718 steps
[Run 311] Ep10000: 2374 steps (0.0007 hrs) 14 sec, Max 270718 steps
[Run 312] Ep10000: 2064 steps (0.0006 hrs) 21 sec, Max 270718 steps
[Run 313] Ep10000: 1639 steps (0.0005 hrs) 16 sec, Max 270718 steps
[Run 314] Ep10000: 2486 steps (0.0007 hrs) 14 sec, Max 270718 steps
[Run 315] Ep10000: 2206 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 316] Ep10000: 2740 steps (0.0008 hrs) 19 sec, Max 270718 steps
[Run 317] Ep10000: 1943 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 318] Ep10000: 1747 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 319] Ep10000: 1688 steps (0.0005 hrs) 18 sec, Max 270718 steps
[Run 320] Ep10000: 3400 steps (0.0009 hrs) 25 sec, Max 270718 steps
[Run 321] Ep10000: 2625 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 322] Ep10000: 1783 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 323] Ep10000: 2159 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 324] Ep10000: 2275 steps (0.0006 hrs) 14 sec, Max 270718 steps
