balanced 0 test_flag 0
[254] Ep10000: 16777 steps (0.0047 hrs) 72 sec, Max 29919 steps
[255] Ep10000: 1777 steps (0.0005 hrs) 12 sec, Max 29919 steps
[256] Ep10000: 1937 steps (0.0005 hrs) 14 sec, Max 29919 steps
[257] Ep10000: 1605 steps (0.0004 hrs) 15 sec, Max 29919 steps
[258] Ep10000: 2107 steps (0.0006 hrs) 16 sec, Max 29919 steps
[259] Ep10000: 1752 steps (0.0005 hrs) 16 sec, Max 29919 steps
[260] Ep10000: 2285 steps (0.0006 hrs) 26 sec, Max 29919 steps
[261] Ep10000: 1974 steps (0.0005 hrs) 13 sec, Max 29919 steps
[262] Ep10000: 3122 steps (0.0009 hrs) 20 sec, Max 29919 steps
[263] Ep10000: 2361 steps (0.0007 hrs) 15 sec, Max 29919 steps
[264] Ep10000: 1909 steps (0.0005 hrs) 16 sec, Max 29919 steps
[265] Ep10000: 2089 steps (0.0006 hrs) 25 sec, Max 29919 steps
[266] Ep10000: 1990 steps (0.0006 hrs) 10 sec, Max 29919 steps
[267] Ep10000: 2549 steps (0.0007 hrs) 24 sec, Max 29919 steps
[268] Ep10000: 2971 steps (0.0008 hrs) 20 sec, Max 29919 steps
[269] Ep10000: 2472 steps (0.0007 hrs) 14 sec, Max 29919 steps
[270] Ep10000: 2177 steps (0.0006 hrs) 19 sec, Max 29919 steps
[271] Ep10000: 2132 steps (0.0006 hrs) 15 sec, Max 29919 steps
[272] Ep10000: 1375 steps (0.0004 hrs) 18 sec, Max 29919 steps
[273] Ep10000: 3559 steps (0.0010 hrs) 24 sec, Max 29919 steps
[274] Ep10000: 1618 steps (0.0004 hrs) 13 sec, Max 29919 steps
[275] Ep10000: 2420 steps (0.0007 hrs) 13 sec, Max 29919 steps
[276] Ep10000: 1620 steps (0.0005 hrs) 11 sec, Max 29919 steps
[277] Ep10000: 2608 steps (0.0007 hrs) 24 sec, Max 29919 steps
[278] Ep10000: 2738 steps (0.0008 hrs) 19 sec, Max 29919 steps
[279] Ep10000: 1833 steps (0.0005 hrs) 18 sec, Max 29919 steps
[280] Ep10000: 2478 steps (0.0007 hrs) 22 sec, Max 29919 steps
[281] Ep10000: 2243 steps (0.0006 hrs) 17 sec, Max 29919 steps
[282] Ep10000: 2609 steps (0.0007 hrs) 24 sec, Max 29919 steps
