balanced 0 test_flag 0
[231] Ep10000: 1745 steps (0.0005 hrs) 17 sec, Max 13149 steps
[232] Ep10000: 2494 steps (0.0007 hrs) 18 sec, Max 13149 steps
[233] Ep10000: 2211 steps (0.0006 hrs) 26 sec, Max 13149 steps
[234] Ep10000: 2381 steps (0.0007 hrs) 17 sec, Max 13149 steps
[235] Ep10000: 4025 steps (0.0011 hrs) 21 sec, Max 13149 steps
[236] Ep10000: 2833 steps (0.0008 hrs) 26 sec, Max 13149 steps
[237] Ep10000: 2055 steps (0.0006 hrs) 25 sec, Max 13149 steps
[238] Ep10000: 9016 steps (0.0025 hrs) 52 sec, Max 13149 steps
[239] Ep10000: 3375 steps (0.0009 hrs) 21 sec, Max 13149 steps
[240] Ep10000: 3107 steps (0.0009 hrs) 19 sec, Max 13149 steps
[241] Ep10000: 2247 steps (0.0006 hrs) 16 sec, Max 13149 steps
[242] Ep10000: 1955 steps (0.0005 hrs) 25 sec, Max 13149 steps
[243] Ep10000: 1652 steps (0.0005 hrs) 17 sec, Max 13149 steps
[244] Ep10000: 2153 steps (0.0006 hrs) 20 sec, Max 13149 steps
[245] Ep10000: 3750 steps (0.0010 hrs) 23 sec, Max 13149 steps
[246] Ep10000: 2385 steps (0.0007 hrs) 25 sec, Max 13149 steps
[247] Ep10000: 1636 steps (0.0005 hrs) 16 sec, Max 13149 steps
[248] Ep10000: 1788 steps (0.0005 hrs) 17 sec, Max 13149 steps
[249] Ep10000: 2099 steps (0.0006 hrs) 25 sec, Max 13149 steps
[250] Ep10000: 2358 steps (0.0007 hrs) 16 sec, Max 13149 steps
[251] Ep10000: 4395 steps (0.0012 hrs) 28 sec, Max 13149 steps
[252] Ep10000: 1910 steps (0.0005 hrs) 16 sec, Max 13149 steps
[253] Ep10000: 1560 steps (0.0004 hrs) 18 sec, Max 13149 steps
[254] Ep10000: 5891 steps (0.0016 hrs) 28 sec, Max 13149 steps
[255] Ep10000: 4326 steps (0.0012 hrs) 28 sec, Max 13149 steps
[256] Ep10000: 2521 steps (0.0007 hrs) 17 sec, Max 13149 steps
[257] Ep10000: 5087 steps (0.0014 hrs) 29 sec, Max 13149 steps
[258] Ep10000: 1658 steps (0.0005 hrs) 17 sec, Max 13149 steps
[259] Ep10000: 1627 steps (0.0005 hrs) 18 sec, Max 13149 steps
[260] Ep10000: 1901 steps (0.0005 hrs) 25 sec, Max 13149 steps
[261] Ep10000: 1769 steps (0.0005 hrs) 16 sec, Max 13149 steps
[262] Ep10000: 2476 steps (0.0007 hrs) 25 sec, Max 13149 steps
[263] Ep10000: 2077 steps (0.0006 hrs) 24 sec, Max 13149 steps
[264] Ep10000: 2028 steps (0.0006 hrs) 17 sec, Max 13149 steps
[265] Ep10000: 1936 steps (0.0005 hrs) 18 sec, Max 13149 steps
[266] Ep10000: 2042 steps (0.0006 hrs) 25 sec, Max 13149 steps
[267] Ep10000: 6056 steps (0.0017 hrs) 28 sec, Max 13149 steps
[268] Ep10000: 2419 steps (0.0007 hrs) 18 sec, Max 13149 steps
[269] Ep10000: 2018 steps (0.0006 hrs) 25 sec, Max 13149 steps
[270] Ep10000: 1749 steps (0.0005 hrs) 18 sec, Max 13149 steps
[271] Ep10000: 4977 steps (0.0014 hrs) 29 sec, Max 13149 steps
[272] Ep10000: 4334 steps (0.0012 hrs) 26 sec, Max 13149 steps
[273] Ep10000: 6098 steps (0.0017 hrs) 32 sec, Max 13149 steps
[274] Ep10000: 1805 steps (0.0005 hrs) 16 sec, Max 13149 steps
[275] Ep10000: 2495 steps (0.0007 hrs) 18 sec, Max 13149 steps
[276] Ep10000: 1464 steps (0.0004 hrs) 18 sec, Max 13149 steps
[277] Ep10000: 1819 steps (0.0005 hrs) 18 sec, Max 13149 steps
[278] Ep10000: 2392 steps (0.0007 hrs) 24 sec, Max 13149 steps
[279] Ep10000: 5058 steps (0.0014 hrs) 32 sec, Max 13149 steps
[280] Ep10000: 4772 steps (0.0013 hrs) 29 sec, Max 13149 steps
[281] Ep10000: 2212 steps (0.0006 hrs) 18 sec, Max 13149 steps
[282] Ep10000: 2453 steps (0.0007 hrs) 19 sec, Max 13149 steps
[283] Ep10000: 1575 steps (0.0004 hrs) 19 sec, Max 13149 steps
[284] Ep10000: 1897 steps (0.0005 hrs) 19 sec, Max 13149 steps
[285] Ep10000: 1838 steps (0.0005 hrs) 17 sec, Max 13149 steps
[286] Ep10000: 6964 steps (0.0019 hrs) 30 sec, Max 13149 steps
[287] Ep10000: 2812 steps (0.0008 hrs) 28 sec, Max 13149 steps
[288] Ep10000: 2332 steps (0.0006 hrs) 19 sec, Max 13149 steps
[289] Ep10000: 2171 steps (0.0006 hrs) 19 sec, Max 13149 steps
[290] Ep10000: 2217 steps (0.0006 hrs) 27 sec, Max 13149 steps
[291] Ep10000: 2442 steps (0.0007 hrs) 18 sec, Max 13149 steps
[292] Ep10000: 1875 steps (0.0005 hrs) 28 sec, Max 13149 steps
[293] Ep10000: 1954 steps (0.0005 hrs) 27 sec, Max 13149 steps
[294] Ep10000: 2219 steps (0.0006 hrs) 18 sec, Max 13149 steps
[295] Ep10000: 2059 steps (0.0006 hrs) 32 sec, Max 13149 steps
[296] Ep10000: 1521 steps (0.0004 hrs) 35 sec, Max 13149 steps
[297] Ep10000: 2019 steps (0.0006 hrs) 31 sec, Max 13149 steps
[298] Ep10000: 1559 steps (0.0004 hrs) 17 sec, Max 13149 steps
[299] Ep10000: 5983 steps (0.0017 hrs) 31 sec, Max 13149 steps
[300] Ep10000: 2178 steps (0.0006 hrs) 21 sec, Max 13149 steps
[301] Ep10000: 2046 steps (0.0006 hrs) 18 sec, Max 13149 steps
[302] Ep10000: 2199 steps (0.0006 hrs) 27 sec, Max 13149 steps
[303] Ep10000: 1607 steps (0.0004 hrs) 18 sec, Max 13149 steps
[304] Ep10000: 1497 steps (0.0004 hrs) 19 sec, Max 13149 steps
[305] Ep10000: 2398 steps (0.0007 hrs) 27 sec, Max 13149 steps
[306] Ep10000: 1707 steps (0.0005 hrs) 18 sec, Max 13149 steps
[307] Ep10000: 1866 steps (0.0005 hrs) 18 sec, Max 13149 steps
[308] Ep10000: 2341 steps (0.0007 hrs) 26 sec, Max 13149 steps
[309] Ep10000: 1613 steps (0.0004 hrs) 19 sec, Max 13149 steps
[310] Ep10000: 1532 steps (0.0004 hrs) 30 sec, Max 13149 steps
[311] Ep10000: 6317 steps (0.0018 hrs) 54 sec, Max 13149 steps
[312] Ep10000: 1717 steps (0.0005 hrs) 15 sec, Max 13149 steps
[313] Ep10000: 2144 steps (0.0006 hrs) 18 sec, Max 13149 steps
[314] Ep10000: 1546 steps (0.0004 hrs) 20 sec, Max 13149 steps
[315] Ep10000: 1221 steps (0.0003 hrs) 17 sec, Max 13149 steps
[316] Ep10000: 2686 steps (0.0007 hrs) 16 sec, Max 13149 steps
[317] Ep10000: 5218 steps (0.0014 hrs) 20 sec, Max 13149 steps
