balanced 0 test_flag 0
[Run 249] Ep10000: 1533 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 250] Ep10000: 3764 steps (0.0010 hrs) 20 sec, Max 28836 steps
[Run 251] Ep10000: 1701 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 252] Ep10000: 2188 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 253] Ep10000: 1851 steps (0.0005 hrs) 24 sec, Max 28836 steps
[Run 254] Ep10000: 2606 steps (0.0007 hrs) 26 sec, Max 28836 steps
[Run 255] Ep10000: 1909 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 256] Ep10000: 4178 steps (0.0012 hrs) 26 sec, Max 28836 steps
[Run 257] Ep10000: 1845 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 258] Ep10000: 3895 steps (0.0011 hrs) 28 sec, Max 28836 steps
[Run 259] Ep10000: 1660 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 260] Ep10000: 1733 steps (0.0005 hrs) 14 sec, Max 28836 steps
[Run 261] Ep10000: 1654 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 262] Ep10000: 2158 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 263] Ep10000: 1520 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 264] Ep10000: 2541 steps (0.0007 hrs) 21 sec, Max 28836 steps
[Run 265] Ep10000: 3965 steps (0.0011 hrs) 27 sec, Max 28836 steps
[Run 266] Ep10000: 1450 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 267] Ep10000: 3343 steps (0.0009 hrs) 21 sec, Max 28836 steps
[Run 268] Ep10000: 1653 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 269] Ep10000: 1785 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 270] Ep10000: 1492 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 271] Ep10000: 4362 steps (0.0012 hrs) 22 sec, Max 28836 steps
[Run 272] Ep10000: 2353 steps (0.0007 hrs) 25 sec, Max 28836 steps
[Run 273] Ep10000: 2173 steps (0.0006 hrs) 21 sec, Max 28836 steps
[Run 274] Ep10000: 1549 steps (0.0004 hrs) 17 sec, Max 28836 steps
[Run 275] Ep10000: 1707 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 276] Ep10000: 2056 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 277] Ep10000: 4876 steps (0.0014 hrs) 26 sec, Max 28836 steps
[Run 278] Ep10000: 3633 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 279] Ep10000: 1776 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 280] Ep10000: 1580 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 281] Ep10000: 2136 steps (0.0006 hrs) 17 sec, Max 28836 steps
[Run 282] Ep10000: 1425 steps (0.0004 hrs) 15 sec, Max 28836 steps
[Run 283] Ep10000: 2712 steps (0.0008 hrs) 27 sec, Max 28836 steps
[Run 284] Ep10000: 2040 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 285] Ep10000: 8564 steps (0.0024 hrs) 45 sec, Max 28836 steps
[Run 286] Ep10000: 1912 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 287] Ep10000: 2501 steps (0.0007 hrs) 16 sec, Max 28836 steps
[Run 288] Ep10000: 2220 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 289] Ep10000: 1900 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 290] Ep10000: 1368 steps (0.0004 hrs) 19 sec, Max 28836 steps
[Run 291] Ep10000: 1365 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 292] Ep10000: 2104 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 293] Ep10000: 4278 steps (0.0012 hrs) 27 sec, Max 28836 steps
